Data Exported
10/12/2018

Name|CompanyName|SalesPerson|EmailAddress|Founded|Last Order|Sales to Date|City|postal_code|latitude|longitude
Mr. Eric J. Brumfield|Requisite Part Supply|adventure-works\jose1|eric3@adventure-works.com|8 August 1876 |83658|60059857|San Antonio|94105|37.785614|-122.396693
Ms. Margaret T. Krupka|Outdoor Sports Supply|adventure-works\pamela0|margaret1@adventure-works.com|9-Jul-01|58238|58879314|SA|94133|37.799598|-122.408394
Mr. David O Lawrence|Gear-Shift Bikes Limited|adventure-works\jose1|david19@adventure-works.com|5 November 1880 |54802|53135406|San Antonio|94133|37.798306|-122.407327
Mr. Mitch  Kennedy|Reasonable Bicycle Sales|adventure-works\shu0|mitch0@adventure-works.com|24 August 1850 |92789|52228704|San Antonio|94133|37.798744|-122.407408
Mr. Yale  Li|Rapid Bikes|adventure-works\jose1|yale0@adventure-works.com|25-Apr-27|73749|52146064|SAN FRANCISCO|94110|37.760579|-122.41932
Ms. Yuhong  Li|Nearby Sporting Goods|adventure-works\jae0|yuhong1@adventure-works.com|21-Feb-73|39837|9263626|SAN FRANCISCO|94110|37.760579|-122.41932
Mr. George Z. Li|Security Racks and Locks Wholesalers|adventure-works\shu0|george3@adventure-works.com|8 July 1859 |81164|6668992|San Jose|94121|37.782107|-122.483631
Mr. Michael  Graff|Commercial Sporting Goods|adventure-works\shu0|michael16@adventure-works.com|17-Sep-08|36954|49792892|San Jose|94105|37.787755|-122.399372
Ms. Anita R. Lucerne|Grand Industries|adventure-works\garrett1|anita0@adventure-works.com|13-Feb-03|39949|48159788|S.A.|94133|37.799837|-122.409517
Ms. Linda E. Burnett|Travel Systems|adventure-works\jillian0|linda4@adventure-works.com|8 August 1876 |91835|46181671|San Francisco|94110|37.759054|-122.414656
Mr. Jeffrey  Kurtz|Many Bikes Store|adventure-works\shu0|jeffrey3@adventure-works.com|2 January 1920a |65015|44042128|S.J.|94133|37.799501|-122.409084
Ms. Phyllis A. Thomas|Red Bicycle Company|adventure-works\jose1|phyllis2@adventure-works.com|25 November 1562 |61738|43973099|SAN FRANCISCO|94118|37.782534|-122.466615
Mr. Kirk T King|Up-To-Date Sports|adventure-works\jose1|kirk2@adventure-works.com|9 May 1828 |52900|37399497|San Francisco|94122|37.75409|-122.478248
Mr. Ted  Bremer|Raw Materials Inc|adventure-works\pamela0|ted0@adventure-works.com|25 April 1873 |98765|36979244|San Diego|94122|37.754106|-122.477841
Mr. Deepak  Kumar|Outdoor Aerobic Systems Company|adventure-works\jae0|deepak0@adventure-works.com|11 November 1889 |73814|35772410|SA|94133|37.799758|-122.407113
Ms. Connie L. Coffman|Discount Bicycle Specialists|adventure-works\jillian0|connie0@adventure-works.com|1892|50881|33958763|SAN JOSE|94122|37.762304|-122.506543
Mr. Vamsi  Kuppa|Metal Clearing House|adventure-works\jose1|vamsi1@adventure-works.com|4 July 1767 |10950|31796818|S.J.|94133|37.800036|-122.409817
Mr. Jon  Grande|Riding Cycles|adventure-works\jae0|jon1@adventure-works.com|24 July 1802 |74699|30020309|San Diego|94116|37.742673|-122.48334
Ms. Elsa  Leavitt|Frugal Bike Shop|adventure-works\shu0|elsa0@adventure-works.com|10-Oct-50|59906|28797620|San Antonio|94133|37.797828|-122.407474
Ms. Bonnie B. Lepro|More Bikes!|adventure-works\linda3|bonnie2@adventure-works.com|1915|24024|25051562|San Francisco|94131|37.733449|-122.434241
Mr. Eric  Lang|Kickstands and Accessories Company|adventure-works\pamela0|eric6@adventure-works.com|1445|67563|23980108|S.A.|94133|37.797933|-122.406018
Mr. Lucy  Harrington|Metropolitan Sports Supply|adventure-works\shu0|lucy0@adventure-works.com|11 August 1897 |67234|20804221|San Francisco|94112|37.712927|-122.444358
Ms. Jane P. Greer|Metro Manufacturing|adventure-works\jose1|jane2@adventure-works.com|1892|86862|16395999|SA|94133|37.799003|-122.407274
Ms. Elsie L. Lewin|Town Industries|adventure-works\jillian0|elsie0@adventure-works.com|13-Feb-03|17046|12122242|SAN FRANCISCO|94118|37.781278|-122.460661
Ms. Judy J. Thames|Demand Distributors|adventure-works\david8|judy3@adventure-works.com|4 July 1767 |76894|11811339|San Jose|94118|37.77721|-122.462874
Mr. Alexander J. Deborde|Neighborhood Store|adventure-works\garrett1|alexander1@adventure-works.com|11 August 1897 |51595|10997195|SA|94133|37.799058|-122.407217
Mr. Derek  Graham|Wholesale Parts|adventure-works\jose1|derek0@adventure-works.com|10-May-35|28436|9346835|San Jose|94110|37.738979|-122.414971
Mr. Brian  Groth|Latest Accessories Sales|adventure-works\david8|brian5@adventure-works.com|8 July 1859 |52318|8419075|S.D.|94133|37.797828|-122.407444
Mr. Kerim  Hanif|Bike World|adventure-works\shu0|kerim0@adventure-works.com|26 July 1165 |61375|5167588|San Francisco|94107|37.757923|-122.393914
Mr. James D. Kramer|Refined Department Stores|adventure-works\jose1|james10@adventure-works.com|1058|53584|4890911|San Antonio|94108|37.790003|-122.408688
Mr. Lester J. Bowman|Metal Processing Company|adventure-works\garrett1|lester0@adventure-works.com|28 February 1812 |94928|3459059|SJ|94115|37.786407|-122.440057
Ms. Vanessa J. Tench|Eighth Bike Store|adventure-works\shu0|vanessa0@adventure-works.com|11 November 1889 |50892|2314778|SAN JOSE|94105|37.794347|-122.394932
